id,awayTeam,group,homeTeam,lastUpdated,matchday,referees,score,season,stage,status,utcDate,winner,homeTeamName,awayTeamName
301998,"{'id': 672, 'name': 'Willem II Tilburg'}",Regular Season,"{'id': 673, 'name': 'SC Heerenveen'}",2020-09-12T23:59:36Z,1.0,"[{'id': 56908, 'name': 'Richard Martens', 'nationality': None}, {'id': 56915, 'name': 'Richard Polman', 'nationality': None}, {'id': 17137, 'name': 'Dyon Fikkert', 'nationality': None}, {'id': 81803, 'name': 'Robin Gansner', 'nationality': None}, {'id': 17139, 'name': 'Clay Ruperti', 'nationality': None}]","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 2, 'awayTeam': 0}, 'halfTime': {'homeTeam': 1, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 615, 'startDate': '2020-09-12', 'endDate': '2021-05-16', 'currentMatchday': 9}",REGULAR_SEASON,FINISHED,2020-09-12T16:45:00Z,HOME_TEAM,SC Heerenveen,Willem II Tilburg
301999,"{'id': 675, 'name': 'Feyenoord Rotterdam'}",Regular Season,"{'id': 684, 'name': 'PEC Zwolle'}",2020-09-12T23:59:37Z,1.0,"[{'id': 56905, 'name': 'Bas Nijhuis', 'nationality': None}, {'id': 43847, 'name': 'Charles Schaap', 'nationality': None}, {'id': 56921, 'name': 'Mark Strijker', 'nationality': None}, {'id': 80087, 'name': 'J. van der Laan', 'nationality': None}, {'id': 56904, 'name': 'Edwin van de Graaf', 'nationality': None}]","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 0, 'awayTeam': 2}, 'halfTime': {'homeTeam': 0, 'awayTeam': 1}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 615, 'startDate': '2020-09-12', 'endDate': '2021-05-16', 'currentMatchday': 9}",REGULAR_SEASON,FINISHED,2020-09-12T18:00:00Z,AWAY_TEAM,PEC Zwolle,Feyenoord Rotterdam
302000,"{'id': 1920, 'name': 'Fortuna Sittard'}",Regular Season,"{'id': 666, 'name': ""FC Twente '65""}",2020-09-13T05:17:56Z,1.0,"[{'id': 9561, 'name': 'Allard Lindhout', 'nationality': None}, {'id': 14765, 'name': 'Rens Bluemink', 'nationality': None}, {'id': 56903, 'name': 'Roy de Nas', 'nationality': None}, {'id': 80301, 'name': 'Luca Cantineau', 'nationality': None}, {'id': 17127, 'name': 'Ingmar Oostrom', 'nationality': None}]","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 2, 'awayTeam': 0}, 'halfTime': {'homeTeam': 1, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 615, 'startDate': '2020-09-12', 'endDate': '2021-05-16', 'currentMatchday': 9}",REGULAR_SEASON,FINISHED,2020-09-12T19:00:00Z,HOME_TEAM,FC Twente '65,Fortuna Sittard
302001,"{'id': 668, 'name': 'VVV Venlo'}",Regular Season,"{'id': 1914, 'name': 'FC Emmen'}",2020-09-13T23:59:34Z,1.0,"[{'id': 56902, 'name': 'Siemen Mulder', 'nationality': None}, {'id': 43717, 'name': 'Richard Brondijk', 'nationality': None}, {'id': 43859, 'name': 'Dave Goossens', 'nationality': None}, {'id': 125517, 'name': None, 'nationality': None}, {'id': 56912, 'name': 'Jeroen Manschot', 'nationality': None}]","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 3, 'awayTeam': 5}, 'halfTime': {'homeTeam': 1, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 615, 'startDate': '2020-09-12', 'endDate': '2021-05-16', 'currentMatchday': 9}",REGULAR_SEASON,FINISHED,2020-09-13T10:15:00Z,AWAY_TEAM,FC Emmen,VVV Venlo
302002,"{'id': 680, 'name': 'ADO Den Haag'}",Regular Season,"{'id': 671, 'name': 'Heracles Almelo'}",2020-09-13T23:59:34Z,1.0,"[{'id': 56923, 'name': 'Van der Eijk', 'nationality': None}, {'id': 15154, 'name': 'Jan de Vries', 'nationality': None}, {'id': 56913, 'name': 'Erik Kleinjan', 'nationality': None}, {'id': 81036, 'name': 'Robin Hensgens', 'nationality': None}, {'id': 80090, 'name': 'Marc Nagtegaal', 'nationality': None}]","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 2, 'awayTeam': 0}, 'halfTime': {'homeTeam': 0, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 615, 'startDate': '2020-09-12', 'endDate': '2021-05-16', 'currentMatchday': 9}",REGULAR_SEASON,FINISHED,2020-09-13T12:30:00Z,HOME_TEAM,Heracles Almelo,ADO Den Haag
302003,"{'id': 678, 'name': 'AFC Ajax'}",Regular Season,"{'id': 6806, 'name': 'Sparta Rotterdam'}",2020-09-13T23:59:34Z,1.0,"[{'id': 43716, 'name': 'Jochem Kamphuis', 'nationality': None}, {'id': 14764, 'name': 'Johan Balder', 'nationality': None}, {'id': 150079, 'name': None, 'nationality': None}, {'id': 81350, 'name': 'Alex Bos', 'nationality': None}, {'id': 56908, 'name': 'Richard Martens', 'nationality': None}]","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 0, 'awayTeam': 1}, 'halfTime': {'homeTeam': 0, 'awayTeam': 1}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 615, 'startDate': '2020-09-12', 'endDate': '2021-05-16', 'currentMatchday': 9}",REGULAR_SEASON,FINISHED,2020-09-13T12:30:00Z,AWAY_TEAM,Sparta Rotterdam,AFC Ajax
302004,"{'id': 679, 'name': 'SBV Vitesse'}",Regular Season,"{'id': 683, 'name': 'RKC Waalwijk'}",2020-09-13T23:59:35Z,1.0,"[{'id': 56904, 'name': 'Edwin van de Graaf', 'nationality': None}, {'id': 15153, 'name': 'Rob van de Ven', 'nationality': None}, {'id': 43718, 'name': 'Nicky Siebert', 'nationality': None}, {'id': 17117, 'name': 'Laurens Gerrets', 'nationality': None}, {'id': 56920, 'name': 'Stan Teuben', 'nationality': None}]","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 0, 'awayTeam': 1}, 'halfTime': {'homeTeam': 0, 'awayTeam': 1}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 615, 'startDate': '2020-09-12', 'endDate': '2021-05-16', 'currentMatchday': 9}",REGULAR_SEASON,FINISHED,2020-09-13T14:45:00Z,AWAY_TEAM,RKC Waalwijk,SBV Vitesse
302005,"{'id': 674, 'name': 'PSV'}",Regular Season,"{'id': 677, 'name': 'FC Groningen'}",2020-09-13T23:59:35Z,1.0,"[{'id': 43858, 'name': 'Serdar Gözübüyük', 'nationality': None}, {'id': 43860, 'name': 'Joost van Zuilen', 'nationality': None}, {'id': 56924, 'name': 'Rogier Honig', 'nationality': None}, {'id': 56910, 'name': 'Martin van den Kerkhof', 'nationality': None}, {'id': 43861, 'name': 'Dennis Higler', 'nationality': None}]","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 1, 'awayTeam': 3}, 'halfTime': {'homeTeam': 0, 'awayTeam': 1}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 615, 'startDate': '2020-09-12', 'endDate': '2021-05-16', 'currentMatchday': 9}",REGULAR_SEASON,FINISHED,2020-09-13T14:45:00Z,AWAY_TEAM,FC Groningen,PSV
302006,"{'id': 676, 'name': 'FC Utrecht'}",Regular Season,"{'id': 668, 'name': 'VVV Venlo'}",2020-09-19T05:00:17Z,2.0,"[{'id': 17141, 'name': 'Rob Dieperink', 'nationality': None}, {'id': 56913, 'name': 'Erik Kleinjan', 'nationality': None}, {'id': 17128, 'name': 'Nils van Kampen', 'nationality': None}, {'id': 81036, 'name': 'Robin Hensgens', 'nationality': None}, {'id': 56923, 'name': 'Van der Eijk', 'nationality': None}]","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 1, 'awayTeam': 1}, 'halfTime': {'homeTeam': 1, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 615, 'startDate': '2020-09-12', 'endDate': '2021-05-16', 'currentMatchday': 9}",REGULAR_SEASON,FINISHED,2020-09-18T18:00:00Z,DRAW,VVV Venlo,FC Utrecht
302007,"{'id': 684, 'name': 'PEC Zwolle'}",Regular Season,"{'id': 682, 'name': 'AZ'}",2020-09-20T00:28:36Z,2.0,"[{'id': 43858, 'name': 'Serdar Gözübüyük', 'nationality': None}, {'id': 43860, 'name': 'Joost van Zuilen', 'nationality': None}, {'id': 56924, 'name': 'Rogier Honig', 'nationality': None}, {'id': 82103, 'name': 'Jesse Rozendal', 'nationality': None}, {'id': 17144, 'name': 'Edgar Bijl', 'nationality': None}, {'id': 43716, 'name': 'Jochem Kamphuis', 'nationality': None}]","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 1, 'awayTeam': 1}, 'halfTime': {'homeTeam': 0, 'awayTeam': 1}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 615, 'startDate': '2020-09-12', 'endDate': '2021-05-16', 'currentMatchday': 9}",REGULAR_SEASON,FINISHED,2020-09-19T14:30:00Z,DRAW,AZ,PEC Zwolle
